Time,diff_s,diff_x,diff_y,diff_heading,diff_speed
0.4979999959468841,0.0,0.0,0.0,0.0,0.0
1.0010000467300415,0.0,0.0,0.0,0.0,0.0
1.5149999856948853,0.0,0.0,0.0,0.0,0.0
2.0169999599456787,0.0,0.0,0.0,0.0,0.0
2.5179998874664307,0.0,0.0,0.0,0.0,0.0
3.0320000648498535,0.0,0.0,0.0,0.0,0.0
3.5339999198913574,0.0,0.0,0.0,0.0,0.0
4.047999858856201,0.0,0.0,0.0,0.0,0.0
4.551000118255615,0.0,0.0,0.0,0.0,0.0
5.051000118255615,0.0,0.0,0.0,0.0,0.0
5.565000057220459,0.0,0.0,0.0,0.0,0.0
6.067999839782715,0.0,0.0,0.0,0.0,0.0
6.581999778747559,0.0,0.0,0.0,0.0,0.0
7.084000110626221,0.0,0.0,0.0,0.0,0.0
7.59600019454956,0.0,0.0,0.0,0.0,0.0
8.10200023651123,0.0,0.0,0.0,0.0,0.0
8.61299991607666,0.0,0.0,0.0,0.0,0.0
9.118000030517578,0.0,0.0,0.0,0.0,0.0
9.631999969482422,0.0,0.0,0.0,0.0,0.0
10.131999969482422,0.0,0.0,0.0,0.0,0.0
10.640000343322754,0.0,0.0,0.0,0.0,0.0
11.133999824523926,0.0,0.0,0.0,0.0,0.0
11.64900016784668,0.0,0.0,0.0,0.0,0.0
12.145999908447266,0.0,0.0,0.0,0.0,0.0
12.59000015258789,0.0,0.0,0.0,0.0,0.0
13.187000274658203,0.0,0.0,0.0,0.0,0.0
13.692999839782717,0.0,0.0,0.0,0.0,0.0
14.20400047302246,0.0,0.0,0.0,0.0,0.0
14.708999633789062,0.0,0.0,0.0,0.0,0.0
15.220000267028809,0.0,0.0,0.0,0.0,0.0
15.72599983215332,0.0,0.0,0.0,0.0,0.0
16.231000900268555,0.0,0.0,0.0,0.0,0.0
16.743000030517578,0.0,0.0,0.0,0.0,0.0
17.253999710083008,0.0,0.0,0.0,0.0,0.0
17.753999710083008,0.0,0.0,0.0,0.0,0.0
18.25900077819824,0.0,0.0,0.0,0.0,0.0
18.75900077819824,0.0,0.0,0.0,0.0,0.0
19.270999908447266,0.0,0.0,0.0,0.0,0.0
19.775999069213867,0.0,0.0,0.0,0.0,0.0
20.28700065612793,0.0,0.0,0.0,0.0,0.0
20.78700065612793,0.0,0.0,0.0,0.0,0.0
21.295000076293945,0.0,0.0,0.0,0.0,0.0
21.792999267578125,0.0,0.0,0.0,0.0,0.0
22.29800033569336,0.0,0.0,0.0,0.0,0.0
22.809999465942383,0.0,0.0,0.0,0.0,0.0
23.31999969482422,0.0,0.0,0.0,0.0,0.0
23.81999969482422,0.0,0.0,0.0,0.0,0.0
24.326000213623047,0.0,0.0,0.0,0.0,0.0
24.82900047302246,0.0,0.0,0.0,0.0,0.0
25.336999893188477,0.0,0.0,0.0,0.0,0.0
25.836999893188477,0.0,0.0,0.0,0.0,0.0
26.35300064086914,0.0,0.0,0.0,0.0,0.0
26.8700008392334,0.0,0.0,0.0,0.0,0.0
27.375,0.0,0.0,0.0,0.0,0.0
27.875999450683594,0.0,0.0,0.0,0.0,0.0
28.381000518798828,0.0,0.0,0.0,0.0,0.0
28.89299964904785,0.0,0.0,0.0,0.0,0.0
29.40399932861328,0.0,0.0,0.0,0.0,0.0
29.910999298095703,0.0,0.0,0.0,0.0,0.0
30.41200065612793,0.0,0.0,0.0,0.0,0.0
30.920000076293945,0.0,0.0,0.0,0.0,0.0
31.437000274658203,0.0,0.0,0.0,0.0,0.0
31.945999145507812,0.0,0.0,0.0,0.0,0.0
32.448001861572266,0.0,0.0,0.0,0.0,0.0
32.96200180053711,0.0,0.0,0.0,0.0,0.0
33.459999084472656,0.0,0.0,0.0,0.0,0.0
33.970001220703125,0.0,0.0,0.0,0.0,0.0
34.470001220703125,0.0,0.0,0.0,0.0,0.0
34.970001220703125,0.0,0.0,0.0,0.0,0.0
35.48699951171875,0.0,0.0,0.0,0.0,0.0
35.98099899291992,0.0,0.0,0.0,0.0,0.0
36.494998931884766,0.0,0.0,0.0,0.0,0.0
36.99599838256836,0.0,0.0,0.0,0.0,0.0
37.50299835205078,0.0,0.0,0.0,0.0,0.0
38.00299835205078,0.0,0.0,0.0,0.0,0.0
38.51399993896485,0.0,0.0,0.0,0.0,0.0
39.02000045776367,0.0,0.0,0.0,0.0,0.0
39.5369987487793,0.0,0.0,0.0,0.0,0.0
40.042999267578125,0.0,0.0,0.0,0.0,0.0
40.54800033569336,0.0,0.0,0.0,0.0,0.0
41.06100082397461,0.0,0.0,0.0,0.0,0.0
41.560001373291016,0.0,0.0,0.0,0.0,0.0
42.064998626708984,0.0,0.0,0.0,0.0,0.0
42.569000244140625,0.0,0.0,0.0,0.0,0.0
