Time,ObjId,s,x,y,heading,speed
0.492000013589859,0,52.460269927978516,8.182496070861816,52.43016052246094,1.567069172859192,18.0
0.492000013589859,1,52.460269927978516,8.182496070861816,52.43016052246094,1.567069172859192,18.0
1.0069999694824219,0,55.03557205200195,8.192140579223633,55.00514221191406,1.567031741142273,18.0
1.0069999694824219,1,55.03557205200195,8.192140579223633,55.00514221191406,1.567031741142273,18.0
1.5010000467300415,0,57.5058708190918,8.201485633850098,57.47512435913086,1.566994309425354,18.0
1.5010000467300415,1,57.5058708190918,8.201485633850098,57.47512435913086,1.566994309425354,18.0
2.015000104904175,0,60.076194763183594,8.211308479309082,60.045108795166016,1.5669535398483276,18.0
2.015000104904175,1,60.076194763183594,8.211308479309082,60.045108795166016,1.5669535398483276,18.0
2.5179998874664307,0,62.591529846191406,8.221024513244629,62.560089111328125,1.5669119358062744,18.0
2.5179998874664307,1,62.591529846191406,8.221024513244629,62.560089111328125,1.5669119358062744,18.0
3.0260000228881836,0,65.13188171386719,8.23094654083252,65.1000747680664,1.5668681859970093,18.0
3.0260000228881836,1,65.13188171386719,8.23094654083252,65.1000747680664,1.5668681859970093,18.0
3.5399999618530273,0,67.7022476196289,8.241100311279297,67.67005157470703,1.5668221712112427,18.0
3.5399999618530273,1,67.7022476196289,8.241100311279297,67.67005157470703,1.5668221712112427,18.0
4.033999919891357,0,70.17261505126953,8.250972747802734,70.14002990722656,1.5667762756347656,18.0
4.033999919891357,1,70.17261505126953,8.250972747802734,70.14002990722656,1.5667762756347656,18.0
4.541999816894531,0,72.71300506591797,8.261245727539062,72.68001556396484,1.5667272806167603,18.0
4.541999816894531,1,72.71300506591797,8.261245727539062,72.68001556396484,1.5667272806167603,18.0
5.008999824523926,0,75.04837799072266,8.270800590515137,75.0149917602539,1.5666807889938354,18.0
5.008999824523926,1,75.04837799072266,8.270800590515137,75.0149917602539,1.5666807889938354,18.0
5.566999912261963,0,91.7913818359375,8.342741966247559,91.75483703613281,1.566304087638855,108.0
5.566999912261963,1,91.7913818359375,8.342741966247559,91.75483703613281,1.566304087638855,108.0
6.081999778747559,0,107.24468994140625,8.415267944335938,107.20466613769531,1.5658893585205078,108.0
6.081999778747559,1,107.24468994140625,8.415267944335938,107.20466613769531,1.5658893585205078,108.0
6.590000152587891,0,122.48846435546875,8.493568420410156,122.44446563720703,1.5654171705245972,108.0
6.590000152587891,1,122.48846435546875,8.493568420410156,122.44446563720703,1.5654171705245972,108.0
7.0920000076293945,0,137.5526885986328,8.578478813171387,137.5042266845703,1.5648889541625977,108.0
7.0920000076293945,1,137.5526885986328,8.578478813171387,137.5042266845703,1.5648889541625977,108.0
7.60099983215332,0,152.8274688720703,8.67317008972168,152.77394104003906,1.5642908811569214,108.0
7.60099983215332,1,152.8274688720703,8.67317008972168,152.77394104003906,1.5642908811569214,108.0
8.10099983215332,0,167.83261108398438,8.775514602661133,167.7736053466797,1.5636471509933472,108.0
8.10099983215332,1,167.83261108398438,8.775514602661133,167.7736053466797,1.5636471509933472,108.0
8.609999656677246,0,183.1082763671875,8.890021324157715,183.043212890625,1.5629388093948364,108.0
8.609999656677246,1,183.1082763671875,8.890021324157715,183.043212890625,1.5629388093948364,108.0
9.109999656677246,0,198.11424255371094,9.013425827026367,198.042724609375,1.562191128730774,108.0
9.109999656677246,1,198.11424255371094,9.013425827026367,198.042724609375,1.562191128730774,108.0
9.618000030517578,0,213.36074829101562,9.150691032409668,213.28213500976562,1.5613785982131958,108.0
9.618000030517578,1,213.36074829101562,9.150691032409668,213.28213500976562,1.5613785982131958,108.0
10.131999969482422,0,228.78775024414062,9.302595138549805,228.70140075683594,1.5605024099349976,108.0
10.131999969482422,1,228.78775024414062,9.302595138549805,228.70140075683594,1.5605024099349976,108.0
10.642999649047852,0,244.12513732910156,9.46742057800293,244.03054809570312,1.5595773458480835,108.0
10.642999649047852,1,244.12513732910156,9.46742057800293,244.03054809570312,1.5595773458480835,108.0
11.159000396728516,0,259.613037109375,9.648669242858887,259.5094909667969,1.5585885047912598,108.0
11.159000396728516,1,259.613037109375,9.648669242858887,259.5094909667969,1.5585885047912598,108.0
11.664999961853027,0,274.8012390136719,9.841675758361816,274.68829345703125,1.5575655698776245,108.0
11.664999961853027,1,274.8012390136719,9.841675758361816,274.68829345703125,1.5575655698776245,108.0
12.164999961853027,0,289.8101806640625,10.048322677612305,289.6869201660156,1.556442141532898,108.0
12.164999961853027,1,289.8101806640625,10.048322677612305,289.6869201660156,1.556442141532898,108.0
12.642000198364258,0,304.130126953125,10.262451171875,303.995361328125,1.555193543434143,108.0
12.642000198364258,1,304.130126953125,10.262451171875,303.995361328125,1.555193543434143,108.0
13.14799976348877,0,319.3222351074219,10.510530471801758,319.1733703613281,1.5536803007125854,108.0
13.14799976348877,1,319.3222351074219,10.510530471801758,319.1733703613281,1.5536803007125854,108.0
13.592000007629395,0,332.6540832519531,10.748249053955078,332.49127197265625,1.5521920919418335,108.0
13.592000007629395,1,332.6540832519531,10.748249053955078,332.49127197265625,1.5521920919418335,108.0
